Run_name,sample_name,type,class,PCR_type,Ct,Ct_mean,Ct_SD,Quantity,Quantity_mean,Quantity_SD
20140506_16S_ATR_data.tmp,SE-1922-s0,16S,UNKNOWN,SYBR,26.54699135,26.68026924,0.22142604,84.70684052,77.74393463,11.5025568
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1922-s0,16S,UNKNOWN,SYBR,26.55794716,26.68026924,0.22142604,84.05775452,77.74393463,11.5025568
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1922-s1,16S,UNKNOWN,SYBR,23.66968727,23.63107109,0.033499643,638.6737671,656.347168,15.33308029
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1922-s1,16S,UNKNOWN,SYBR,23.61372757,23.63107109,0.033499643,664.2668457,656.347168,15.33308029
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-1922-s1,16S,UNKNOWN,SYBR,23.60980034,23.63107109,0.033499643,666.1009521,656.347168,15.33308029
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s0,16S,UNKNOWN,SYBR,16.97505951,16.89168549,0.074368924,70248.21875,74550.32031,3847.271729
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s0,16S,UNKNOWN,SYBR,16.86781502,16.89168549,0.074368924,75742,74550.32031,3847.271729
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s0,16S,UNKNOWN,SYBR,16.83218384,16.89168549,0.074368924,77660.75781,74550.32031,3847.271729
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s1,16S,UNKNOWN,SYBR,23.04770851,23.03966331,0.028727083,988.4066772,994.1411743,20.12861824
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s1,16S,UNKNOWN,SYBR,23.06350899,23.03966331,0.028727083,977.5021362,994.1411743,20.12861824
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s1,16S,UNKNOWN,SYBR,23.00777054,23.03966331,0.028727083,1016.514832,994.1411743,20.12861824
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s2,16S,UNKNOWN,SYBR,17.47838974,17.38736916,0.080032349,49335.27734,52645.91797,2915.262451
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s2,16S,UNKNOWN,SYBR,17.35570145,17.38736916,0.080032349,53773.49219,52645.91797,2915.262451
,,,,,,,,,,
20140506_16S_ATR_data.tmp,SE-317-s2,16S,UNKNOWN,SYBR,17.32801628,17.38736916,0.080032349,54828.97656,52645.91797,2915.262451
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,7.816785336,7.585533142,0.200491562,100000000,,
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,7.46048975,7.585533142,0.200491562,100000000,,
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,7.479324341,7.585533142,0.200491562,100000000,,
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,10.8773613,10.81178761,0.056993254,10000000,,
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,10.7741766,10.81178761,0.056993254,10000000,,
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,10.78382397,10.81178761,0.056993254,10000000,,
,,,,,,,,,,
20140717_16S_LB_data.tmp,,16S,STANDARD,SYBR,13.27408504,13.22402096,0.059396196,1000000,,
,,,,,,,,,,
